GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
38559	Q8TDV5	CCHGKGFZEORIJY-UHFFFAOYSA-N	EC	0.11	0.11	uM	22836190												
58257	Q8TDV5	DEYDPESEUANZFX-UHFFFAOYSA-N	EC	0.73	0.73	uM	22365911												
62516	Q8TDV5	DKPSZYFWHACRTC-UHFFFAOYSA-N	EC	1.8	1.8	uM	22365911												
70122	Q8TDV5	DVPXXFUJNMNQQR-UHFFFAOYSA-N	EC	3.9	3.9	nM	23010456												
77425	Q8TDV5	FFUORJBKNBKITF-UHFFFAOYSA-N	EC	12	12	uM	22365911												
90801	Q8TDV5	FZEDWJGSVAPJBL-UHFFFAOYSA-N	EC	8.2	8.2	uM	22365911												
96668	Q8TDV5	GHOPAHKQKCMYHB-UHFFFAOYSA-N	EC	970	970	nM	23010456												
99261	Q8TDV5	GLEVVDJOFBMLQB-UHFFFAOYSA-N	EC	3.6	3.6	uM	22365911												
119210	Q8TDV5	HNCAHNKUINZSCO-UHFFFAOYSA-N	EC	0.013	0.013	uM	22836190												
169127	Q8TDV5	KHGJNOKYMKZXJA-UHFFFAOYSA-N	EC	0.21	0.21	uM	22836190												
170979	Q8TDV5	KKARPHGXIVJIEA-JTQLQIEISA-N	EC	2.3	2.3	uM	22836190												
170980	Q8TDV5	KKARPHGXIVJIEA-SNVBAGLBSA-N	EC	1.2	1.2	uM	22836190												
171206	Q8TDV5	KKJMVQUBLXOSGK-UHFFFAOYSA-N	EC	51	51	nM	23010456												
174903	Q8TDV5	KPKGFRPQEQJFKH-SECBINFHSA-N	EC	0.28	0.28	uM	22836190												
176872	Q8TDV5	KSAQSTZDZQPHSX-LLVKDONJSA-N	EC	0.19	0.19	uM	22836190												
176873	Q8TDV5	KSAQSTZDZQPHSX-NSHDSACASA-N	EC	0.59	0.59	uM	22836190												
192931	Q8TDV5	LPBQYGYTWQWGPW-UHFFFAOYSA-N	EC	150	150	nM	23010456												
193681	Q8TDV5	LQBQNSFNHMVXDA-UHFFFAOYSA-N	EC	8.3	8.3	nM	23010456												
207426	Q8TDV5	MKDDERDXWHQKGP-UHFFFAOYSA-N	EC	18	18	nM	23010456												
225582	Q8TDV5	NKKFFSLGVJNWJZ-UHFFFAOYSA-N	EC	2.8	2.8	nM	23010456												
243496	Q8TDV5	OKGRXAGCJBIGJA-UHFFFAOYSA-N	EC	1.3	1.3	uM	22365911												
246175	Q8TDV5	OOBJPFBOLNRCAU-UHFFFAOYSA-N	EC	0.91	0.91	uM	22365911												
252115	Q8TDV5	OWSGPEZXAIWLAK-UHFFFAOYSA-N	EC	350	350	nM	23010456												
267580	Q8TDV5	PSGKHCPOBPQZMM-UHFFFAOYSA-N	EC	0.0069	0.0069	uM	22836190												
283666	Q8TDV5	QPELMPRUTVUQDD-UHFFFAOYSA-N	EC	0.72	0.72	uM	22836190												
286098	Q8TDV5	QSWIJADWRSCNOI-UHFFFAOYSA-N	EC	13	13	uM	22365911												
303309	Q8TDV5	RRKYCAGPTITUAS-UHFFFAOYSA-N	EC	28	28	nM	23010456												
305963	Q8TDV5	RVELKJBAOZBEHO-UHFFFAOYSA-N	EC	4100	4100	nM	23010456												
308391	Q8TDV5	RYVKIABDAXCSEP-UHFFFAOYSA-N	EC	0.017	0.017	uM	22836190												
312115	Q8TDV5	SEHUCEGUZVEGBO-UHFFFAOYSA-N	EC	0.33	0.33	uM	22836190												
338460	Q8TDV5	UJUPMHQNADSSTA-UHFFFAOYSA-N	EC	0.7	0.7	uM	22836190												
351394	Q8TDV5	VCDSGMTUYQSVNG-UHFFFAOYSA-N	EC	57	57	nM	23010456												
355442	Q8TDV5	VHPGHGLUXZTITL-UHFFFAOYSA-N	EC	14	14	nM	23010456												
355942	Q8TDV5	VIKIQGQUUZHXQG-LLVKDONJSA-N	EC	0.39	0.39	uM	22836190												
359788	Q8TDV5	VNTUDANQYJITCD-UHFFFAOYSA-N	EC	19	19	uM	22365911												
361535	Q8TDV5	VQEVFRZOHYKWBE-UHFFFAOYSA-N	EC	0.021	0.021	uM	22836190												
371528	Q8TDV5	WERUCVSVXISYIJ-UHFFFAOYSA-N	EC	560	560	nM	23010456												
380109	Q8TDV5	WQXCMIBSUCPDPZ-UHFFFAOYSA-N	EC	44	44	nM	23010456												
386842	Q8TDV5	XAENKMLQUJRZPV-UHFFFAOYSA-N	EC	770	770	nM	23010456												
406271	Q8TDV5	YBWSBJVJGRFKGE-UHFFFAOYSA-N	EC	1.5	1.5	uM	22836190												
